rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
146,"spotify:track:5hzOyvCqy8sb39xGXUEdpb","SG","僕らまた","SuperGenius Entertainment",67,143,384,"39870"
147,"spotify:track:3gmn76fCtpDazGMnN0QMHX","imase","NIGHT DANCER","Universal Music LLC",57,142,114,"39782"
148,"spotify:track:4HPhxz9tEQoZiwTWl89OxS","8LOOM","Forever or Never","Virgin Music Label And Artist Services (S&D)",134,149,7,"39753"
149,"spotify:track:2jdbZGFp8KVTuk0YxDNL4l","back number","高嶺の花子さん","Universal Music LLC",7,147,1385,"39664"
150,"spotify:track:10Eyo4juZQFthKqlJgGMdp","back number","怪盗","Universal Music LLC",10,152,569,"39351"
151,"spotify:track:7mSVOYRseiZi20xtBKhHnF","MISIA & HIDE (GReeeeN)","アイノカタチ","Sony Music Labels Inc.",6,157,1306,"39324"
152,"spotify:track:5SuOikwiRyPMVoIQDJUgSV","Gen Hoshino","喜劇","Speedstar",6,150,251,"39304"
153,"spotify:track:0871AdnvzzSGr5XdTJaDHC","Ado","踊","Universal Music LLC",9,158,596,"38604"
154,"spotify:track:69xohKu8C1fsflYAiSNbwM","BTS","Run BTS","BIGHIT MUSIC",22,154,90,"38482"
155,"spotify:track:2HovXsvcdJur52BOcYGydz","Aimer","カタオモイ","Sony Music Labels Inc.",54,155,1381,"38171"
156,"spotify:track:7n2FZQsaLb7ZRfRPfEeIvr","IVE","ELEVEN","STARSHIP Entertainment",22,153,377,"38129"
157,"spotify:track:1fcbAM10NJDMxShne4Vqjq","Eve","白雪","TOY'S FACTORY",157,-1,1,"38036"
158,"spotify:track:0tnhoHUrHfcLi9hPknUFZ4","Mrs. GREEN APPLE","僕のこと","Universal Music LLC",15,156,1345,"37922"
159,"spotify:track:17rhDgnYYryQU4uS71ZxFu","結束バンド","ギターと孤独と蒼い惑星","Aniplex Inc.",150,167,21,"37845"
160,"spotify:track:6ts1KCOudfDYXYfyWtq0k1","milet & Aimer & Lilas Ikuta","おもかげ (produced by Vaundy)","THE FIRST TAKE MUSIC",25,151,358,"37842"
161,"spotify:track:5DMEvbg3gUmiR5HIBWdveV","Official HIGE DANdism","ノーダウト","LASTRUM",3,161,1703,"37773"
162,"spotify:track:1kMlcLyljkrShV0LSdSGBz","Official HIGE DANdism","イエスタデイ","ポニーキャニオン",3,162,1036,"37624"
163,"spotify:track:6sElEqOIGENWjpxGFeo5ct","Novelbright","ツキミソウ","Universal Music LLC",51,166,730,"37572"
164,"spotify:track:1qE8DOtw7zdXHMgZm20eLM","TWICE","The Feels","WM Japan",10,159,439,"37487"
165,"spotify:track:26OxcplUEuMjoqkjwVLcPq","PornoGraffitti","サウダージ","Sony Music Labels Inc.",123,164,45,"37425"
166,"spotify:track:5SHguvOUbyPTINNjCvRo8K","Mrs. GREEN APPLE","春愁","Universal Music LLC",60,165,970,"37244"
167,"spotify:track:0DPNaz9xQ0AKUsCOvfakqy","Saucy Dog","あぁ、もう。","A-Sketch",61,160,362,"37216"
